Part Number,General Description,Marketing Status,Package,Core,Operating Frequency (MHz),Flash Size (kB) (Prog),Dual-bank Flash,Data E2PROM (B) nom,RAM Size (kB),Timers (16-bit) typ,Other timer functions,A/D Converters 12-bit,,D/A Converters (12-bit) typ,Comparator,I/Os (High Current),Display controller,I2C typ,SPI typ,I2S typ,USART typ,UART typ,USB Type,Cryptography,Security Functions,Supply Voltage (V) min,Supply Voltage (V) max,Supply Current (µA) (@ Lowest Power) typ,Supply Current (µA) (Run Mode (per MHz)) typ,Operating Temperature (°C) min,Operating Temperature (°C) max
,,,,,,,,,,,,Number of A/D Converters typ,Number of Channels typ,,,,,,,,,,,,,,,,,,
STM32L010C6,"Ultra-low-power value line Arm Cortex-M0+ MCU with 32-Kbytes of Flash memory, 32 MHz CPU",Active,LQFP 48 7x7x1.4 mm,Arm Cortex-M0+,32,32,No,256,8,2,"Dual Watchdog, RTC, SysTick",1,10,-,-,38,-,1,1,-,1,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.8,3.6,0.25,80,-40,85
STM32L010F4,Ultra-low-power value line Arm Cortex-M0+ MCU with 16-Kbytes of of Flash memory memory and 32 MHz CPU,Active,TSSOP-20,Arm Cortex-M0+,32,16,No,128,2,2,"Dual Watchdog, RTC, SysTick",1,9,-,-,16,-,1,1,-,1,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.8,3.6,0.23,76,-40,85
STM32L010K4,Ultra-low-power value line Arm Cortex-M0+ MCU with 16-Kbytes of of Flash memory memory and 32 MHz CPU,Active,LQFP 32 7x7x1.4 mm,Arm Cortex-M0+,32,16,No,128,2,2,"Dual Watchdog, RTC, SysTick",1,10,-,-,26,-,1,1,-,1,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.8,3.6,0.23,76,-40,85
STM32L010K8,"Ultra-low-power value line Arm Cortex-M0+ MCU with 64-Kbytes of Flash memory, 32 MHz CPU",Active,LQFP 32 7x7x1.4 mm,Arm Cortex-M0+,32,64,No,256,8,2,"Dual Watchdog, RTC, SysTick",1,10,-,-,25,-,1,1,-,1,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.8,3.6,0.27,87,-40,85
STM32L010R8,"Ultra-low-power value line Arm Cortex-M0+ MCU with 64-Kbytes of Flash memory, 32 MHz CPU",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M0+,32,64,No,256,8,2,"Dual Watchdog, RTC, SysTick",1,16,-,-,51,-,1,1,-,1,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.8,3.6,0.27,87,-40,85
STM32L010RB,"Ultra-low-power value line Arm Cortex-M0+ MCU with 128-Kbytes of Flash memory, 32 MHz CPU",Active,LQFP 64 10x10x1.4 mm,Arm Cortex-M0+,32,128,No,512,20,3,"Dual Watchdog, RTC, SysTick",1,16,-,-,51,-,1,1,-,1,-,-,-,"Abnormal Situation Handling, Application Lifecycle, Secure Boot, Secure Install/Update, Secure Storage, Silicon Device Lifecycle, Software IP Protection",1.8,3.6,0.29,93,-40,85
STM32L011D3,"Ultra-low-power ARM Cortex-M0+ MCU with 8-Kbytes Flash, 32 MHz CPU",Active,TSSOP-14,Arm Cortex-M0+,32,8,No,512,2,2,"Dual Watchdog, RTC, SysTick",1,4,-,2,11,-,1,1,-,1,-,-,-,-,1.65,3.6,0.23,87,-40,85
STM32L011D4,"Ultra-low-power ARM Cortex-M0+ MCU with 16-Kbytes Flash, 32 MHz CPU",Active,TSSOP-14,Arm Cortex-M0+,32,16,No,512,2,2,"Dual Watchdog, RTC, SysTick",1,4,-,2,11,-,1,1,-,1,-,-,-,-,1.65,3.6,0.25,87,-40,105
STM32L011E3,"Ultra-low-power ARM Cortex-M0+ MCU with 8-Kbytes Flash, 32 MHz CPU",Active,WLCSP 25 2.2x2.1x0.6 P 0.4 mm,Arm Cortex-M0+,32,8,No,512,2,2,"Dual Watchdog, RTC, SysTick",1,10,-,2,21,-,1,1,-,1,-,-,-,-,1.65,3.6,0.25,87,-40,85
