part_number,series_line,category_from_doc,flash_size_kb_prog,ram_size_kb,total_eeprom_b_from_export,eeprom_total_size_b_from_doc,eeprom_bank1_start_addr,eeprom_bank1_size_b,eeprom_bank2_start_addr,eeprom_bank2_size_b,eeprom_write_size_b,eeprom_erase_value,notes,rust_regex_map_key,rust_mem_entry
STM32L010C6,L0x0 Value Line,,32,8,256,,,,,,,,,,
STM32L010F4,L0x0 Value Line,,16,2,128,,,,,,,,,,
STM32L010K4,L0x0 Value Line,,16,2,128,,,,,,,,,,
STM32L010K8,L0x0 Value Line,,64,8,256,,,,,,,,,,
STM32L010R8,L0x0 Value Line,,64,8,256,,,,,,,,,,
STM32L010RB,L0x0 Value Line,,128,20,512,,,,,,,,,,
STM32L011D3,L0x1,,8,2,512,,,,,,,,,,
STM32L011D4,L0x1,,16,2,512,,,,,,,,,,
STM32L011E3,L0x1,,8,2,512,,,,,,,,,,
STM32L011E4,L0x1,,16,2,512,,,,,,,,,,
STM32L011F3,L0x1,,8,2,512,,,,,,,,,,
STM32L011F4,L0x1,,16,2,512,,,,,,,,,,
STM32L011G3,L0x1,,8,2,512,,,,,,,,,,
STM32L011G4,L0x1,,16,2,512,,,,,,,,,,
STM32L011K3,L0x1,,8,2,512,,,,,,,,,,
STM32L011K4,L0x1,,16,2,512,,,,,,,,,,
STM32L021D4,L0x1,,16,2,512,,,,,,,,,,
STM32L021F4,L0x1,,16,2,512,,,,,,,,,,
STM32L021G4,L0x1,,16,2,512,,,,,,,,,,
STM32L021K4,L0x1,,16,2,512,,,,,,,,,,
STM32L031C4,L0x1,,16,8,1024,,,,,,,,,,
STM32L031C6,L0x1,,32,8,1024,,,,,,,,,,
STM32L031E4,L0x1,,16,8,1024,,,,,,,,,,
STM32L031E6,L0x1,,32,8,1024,,,,,,,,,,
STM32L031F4,L0x1,,16,8,1024,,,,,,,,,,
STM32L031F6,L0x1,,32,8,1024,,,,,,,,,,
STM32L031G4,L0x1,,16,8,1024,,,,,,,,,,
STM32L031G6,L0x1,,32,8,1024,,,,,,,,,,
STM32L031K4,L0x1,,16,8,1024,,,,,,,,,,
STM32L031K6,L0x1,,32,8,1024,,,,,,,,,,
STM32L041C6,L0x1,,32,8,1024,,,,,,,,,,
STM32L041E6,L0x1,,32,8,1024,,,,,,,,,,
STM32L041F6,L0x1,,32,8,1024,,,,,,,,,,
STM32L041G6,L0x1,,32,8,1024,,,,,,,,,,
STM32L041K6,L0x1,,32,8,1024,,,,,,,,,,
STM32L051C6,L0x1,,32,8,2048,,,,,,,,,,
STM32L051C8,L0x1,,64,8,2048,,,,,,,,,,
STM32L051K6,L0x1,,32,8,2048,,,,,,,,,,
STM32L051K8,L0x1,,64,8,2048,,,,,,,,,,
STM32L051R6,L0x1,,32,8,2048,,,,,,,,,,
STM32L051R8,L0x1,,64,8,2048,,,,,,,,,,
STM32L051T6,L0x1,,32,8,2048,,,,,,,,,,
STM32L051T8,L0x1,,64,8,2048,,,,,,,,,,
STM32L052C6,L0x2,,32,8,2048,,,,,,,,,,
STM32L052C8,L0x2,,64,8,2048,,,,,,,,,,
STM32L052K6,L0x2,,32,8,2048,,,,,,,,,,
STM32L052K8,L0x2,,64,8,2048,,,,,,,,,,
STM32L052R6,L0x2,,32,8,2048,,,,,,,,,,
STM32L052R8,L0x2,,64,8,2048,,,,,,,,,,
STM32L052T6,L0x2,,32,8,2048,,,,,,,,,,
STM32L052T8,L0x2,,64,8,2048,,,,,,,,,,
STM32L053C6,L0x3,,32,8,2048,,,,,,,,,,
STM32L053C8,L0x3,,64,8,2048,,,,,,,,,,
STM32L053R6,L0x3,,32,8,2048,,,,,,,,,,
STM32L053R8,L0x3,,64,8,2048,,,,,,,,,,
STM32L062C8,L0x2,,64,8,2048,,,,,,,,,,
STM32L062K8,L0x2,,64,8,2048,,,,,,,,,,
STM32L063C8,L0x3,,64,8,2048,,,,,,,,,,
STM32L063R8,L0x3,,64,8,2048,,,,,,,,,,
STM32L071C8,L0x1,,64,20,3072,,,,,,,,,,
STM32L071CB,L0x1,,128,20,6144,,,,,,,,,,
STM32L071CZ,L0x1,,192,20,6144,,,,,,,,,,
STM32L071K8,L0x1,,64,20,3072,,,,,,,,,,
STM32L071KB,L0x1,,128,20,6144,,,,,,,,,,
STM32L071KZ,L0x1,,192,20,6144,,,,,,,,,,
STM32L071RB,L0x1,,128,20,6144,,,,,,,,,,
STM32L071RZ,L0x1,,192,20,6144,,,,,,,,,,
STM32L071V8,L0x1,,64,20,3072,,,,,,,,,,
STM32L071VB,L0x1,,128,20,6144,,,,,,,,,,
STM32L071VZ,L0x1,,192,20,6144,,,,,,,,,,
STM32L072CB,L0x2,,128,20,6144,,,,,,,,,,
STM32L072CZ,L0x2,,192,20,6144,,,,,,,,,,
STM32L072KB,L0x2,,128,20,6144,,,,,,,,,,
STM32L072KZ,L0x2,,192,20,6144,,,,,,,,,,
STM32L072RB,L0x2,,128,20,6144,,,,,,,,,,
STM32L072RZ,L0x2,,192,20,6144,,,,,,,,,,
STM32L072V8,L0x2,,64,20,3072,,,,,,,,,,
STM32L072VB,L0x2,,128,20,6144,,,,,,,,,,
STM32L072VZ,L0x2,,192,20,6144,,,,,,,,,,
STM32L073CB,L0x3,,128,20,6144,,,,,,,,,,
STM32L073CZ,L0x3,,192,20,6144,,,,,,,,,,
STM32L073RB,L0x3,,128,20,6144,,,,,,,,,,
STM32L073RZ,L0x3,,192,20,6144,,,,,,,,,,
STM32L073V8,L0x3,,64,20,3072,,,,,,,,,,
STM32L073VB,L0x3,,128,20,6144,,,,,,,,,,
STM32L073VZ,L0x3,,192,20,6144,,,,,,,,,,
STM32L081CB,L0x1,,128,20,6144,,,,,,,,,,
STM32L081CZ,L0x1,,192,20,6144,,,,,,,,,,
STM32L081KZ,L0x1,,192,20,6144,,,,,,,,,,
STM32L082CZ,L0x2,,192,20,6144,,,,,,,,,,
